CSW Acceptance Testing Report for run starting Wed Jan 16 16:28:48 PST 2019
Class,Test Name,Result
csw.admin.server.log.HttpAndTcpLogAdminTest,get component log meta data for http service not supported,PASSED
csw.admin.server.log.HttpAndTcpLogAdminTest,set component log level for http service not supported,PASSED
csw.admin.server.log.HttpAndTcpLogAdminTest,get component log meta data and set log level for tcp service not supported,PASSED
csw.admin.server.log.HttpAndTcpLogAdminTest,set component log level for tcp service not supported,PASSED
csw.admin.server.cli.ArgsParserTest,parse without arguments,PASSED
csw.admin.server.cli.ArgsParserTest,parse when only port argument provided,PASSED
csw.admin.server.cli.ArgsParserTest,parse with all arguments,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should able to register, resolve, list and unregister tcp location,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should able to register, resolve, list and unregister http location,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should able to register, resolve, list and unregister akka location,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,akka location death watch actor should unregister services whose actorRef is terminated,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should able to track tcp connection and get location updated(on registration) and remove(on unregistration) messages,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should be able to subscribe a tcp connection and receive notifications via callback,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should able to track http and akka connection registered before tracking started,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should able to stop tracking,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should not register a different Registration(connection + port/URI/actorRef) against already registered name,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,registering an already registered Registration(connection + port/URI/actorRef) on same machine should not result in failure,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,unregistering an already unregistered connection does not result in failure,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should able to resolve tcp connection,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should filter components with component type,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should filter connections based on Connection type,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should filter connections based on hostname,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should filter akka connections based on prefix,PASSED
csw.location.server.scaladsl.LocationServiceCompTestWithCluster,should able to unregister all components,PASSED
csw.location.server.cli.ArgsParserTest,parse without arguments,PASSED
csw.location.server.cli.ArgsParserTest,parse with all arguments without testMode,PASSED
csw.location.server.cli.ArgsParserTest,parse with all arguments --testMode,PASSED
csw.location.server.cli.ArgsParserTest,parse with some arguments,PASSED
csw.location.server.commons.BlockingUtilsTest,test that Poll method bottoms out and returns expected result,PASSED
csw.location.server.commons.BlockingUtilsTest,test that Poll method detects predicate fulfillment,PASSED
csw.location.server.scaladsl.MultiActorSystemTest,ensure that location service works across two actorSystems within the same JVM,PASSED
csw.location.server.internal.StreamExtTest,distinctUntilChanged,PASSED
csw.location.server.commons.ClusterSettingsTest,exception is thrown when settings are not found for a given cluster name,PASSED
csw.location.server.commons.ClusterSettingsTest,default cluster settings are used when no custom parameters are supplied,PASSED
csw.location.server.commons.ClusterSettingsTest,cluster settings with custom parameters are used,PASSED
